compartment wall or floor A fire resisting wall or floor to separate one fire compartment from another.	<http://buildvoc.co.uk/resource/c_4cdc3b72>
fire safety - volume 2: buildings other than dwellings. 2019 edition - for use in england Presents the functional requirements for complying with fire safety in buildings other than dwellings in the building regulations. The sections cover: B1 - Means of warning and escape, B2 - Internal fire spread (linings), B3 - Internal fire spread (structure), B4 - External fire spread and B5 - Access and facilities for the fire service. Also includes Regulations 6(3), 7(2) and 38. Volume 1 deals with dwellings and blocks of flats and Volume 2 deals with all other types of building covered by the Building Regulations.	<http://buildvoc.co.uk/resource/c_6c82c09f>
fire safety - volume 1: dwellings. 2019 edition - for use in england Presents the functional requirements for complying with fire safety in dwellings in the building regulations. The sections cover: B1 - Means of warning and escape, B2 - Internal fire spread (linings), B3 - Internal fire spread (structure), B4 - External fire spread and B5 - Access and facilities for the fire service. Also includes Regulations 6(3), 7(2) and 38. Approved Document B (fire safety) has been published in two volumes. Volume 1 deals with dwellings and blocks of flats and Volume 2 deals with all other types of building covered by the Building Regulations.	<http://buildvoc.co.uk/resource/c_ca00c020>
specified attachment Includes any of the following. \n<ul><li>A balcony attached to an external wall.\n<li>A device for reducing heat gain within a building by deflecting sunlight which is attached to an external wall. </ul>\nA solar panel attached to an external wall.	<http://buildvoc.co.uk/resource/c_b44f46e0>
access room A room that the only escape route from an inner room passes through.	<http://buildvoc.co.uk/resource/c_228ee3b0>
cavity A space enclosed by elements of a building (including a suspended ceiling) or contained within an element, but that is not a room, cupboard, circulation space, protected shaft, or space within a flue, chute, duct, pipe or conduit.	<http://buildvoc.co.uk/resource/c_7fc5469b>
dwelling Includes a dwellinghouse and a flat.	<http://buildvoc.co.uk/resource/c_34f295d5>
live/work unit A flat that is a workplace for people who live there, its occupants, and for people who do not live on the premises.	<http://buildvoc.co.uk/resource/c_b3f65603>
means of escape Structural means that provide one or more safe routes for people to go, during a fire, from any point in the building to a place of safety.	<http://buildvoc.co.uk/resource/c_10ea4ecc>
open spatial planning The internal arrangement of a building in which more than one storey or level is contained in one undivided volume, e.g. split-level floors. For the purposes of this document there is a distinction between open spatial planning and an atrium space.	<http://buildvoc.co.uk/resource/c_4cb80404>
